# Per-country facts from Wikidata (CC0), fetched by build_facts.py.
# continent P30, currency P38, language P37, drive P1622,
# landlocked P31 = Q123480, org P463 memberships, gov P122 basic
# form of government, tz P421 time zones.
# country	continent	currency	language	drive	landlocked	org	gov	tz
Afghanistan	Asia	afghani	Arabic|Balochi|Dari|Nuristani|Pamir|Pashayi|Pashto|Turkmen|Uzbek	right	1	United Nations	Emirate|islamic theocracy|unitary state	Asia/Kabul|UTC+04:30
Albania	Europe	Albanian lek	Albanian	right	0	United Nations	parliamentary system	UTC+01:00
Algeria	Africa	Algerian dinar	Arabic|Standard Algerian Berber	right	0	African Continental Free Trade Area|African Development Bank|African Union|Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Maghreb Union|Arab Monetary Fund|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Lake Chad Basin Commission|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	people's republic|semi-presidential system	UTC+01:00
Andorra	Europe		Catalan	right	0	United Nations	parliamentary coprincipality	Central European Time|Europe/Andorra|UTC+01:00
Angola	Africa	kwanza	Portuguese	right	0	African Continental Free Trade Area|African Development Bank|African Union|Community of Portuguese Language Countries|Economic Community of Central African States|Gulf of Guinea Commission|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Renewable Energy Agency|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organization of the Petroleum Exporting Countries|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|republic	Africa/Luanda|UTC+01:00
Antigua and Barbuda	North America	Eastern Caribbean dollar	English|Spanish	left	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|Caribbean Free Trade Association|Commonwealth of Nations|International Bank for Reconstruction and Development|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	America/Antigua|UTC−04:00
Argentina	South America	Argentine convertible peso	Spanish	left|right	0	ABC nations|African Development Bank|Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Andean Community|Antarctic Treaty System|Australia Group|Central American Bank for Economic Integration|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Renewable Energy Agency|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union of South American Nations|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	federal republic	UTC−03:00
Australia	Oceania	Australian dollar	English	left	0	ABCANZ Armies|ANZUK|ANZUS|ASEAN|ASEAN Regional Forum|AUKUS|AUSCANNZUKUS|Air Force Interoperability Council|Antarctic Treaty System|Asia-Pacific Economic Cooperation|Asian Development Bank|Australia Group|Bank for International Settlements|Colombo Plan|Combined Communications-Electronics Board|Commonwealth of Nations|East Asia Summit|European Bank for Reconstruction and Development|Five Eyes|Food and Agriculture Organization of the United Nations|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Pacific Community|Pacific Islands Forum|Southeast Asia Treaty Organization|The Technical Cooperation Program|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy|federation|representative democracy	UTC+10:00
Austria	Europe		Austrian Sign Language|German	right	1	African Development Bank|Asian Development Bank|Australia Group|Council of Europe|Eurocontrol|European Free Trade Association|European Payments Union|European Southern Observatory|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Energy Forum|International Finance Corporation|International Holocaust Remembrance Alliance|International Military Sports Council|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	federal parliamentary republic|republic|semi-presidential system	UTC+01:00
Azerbaijan	Asia	Azerbaijani manat	Azerbaijani|Azerbaijani Sign Language	right	0	United Nations	republic|semi-presidential system|unitary state	UTC+04:00
Bahrain	Asia	Bahraini dinar	Arabic	right	0	Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|Cooperation Council for the Arab States of the Persian Gulf|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	Asia/Bahrain|UTC+03:00
