# Per-landmark facts from Wikidata (CC0), fetched by build_facts.py.
# types is |-separated P31 labels. elev metres (P2044), founded year
# (P571, negative is BCE), water is P206 labels, visitors is P1174,
# tz is P421 time zone labels, crit is P2614 World Heritage
# criteria, listed is the P1435 inscription year (qualifier P580).
# qid	types	elev	founded	water	visitors	tz	crit	listed
Q237	city-state|confessional state|country|enclave|institutional complex|landlocked country|religious complex|sacerdotal state|successor state|tourist destination|urban area		1929			Central European Time|Europe/Vatican|UTC+01:00	(i)|(ii)|(iv)|(vi)	1960
Q513	mountain	8844.43			0			
Q2844	administrative territorial entity|big city|federal capital|municipality of Brazil|planned national capital|political city	1171	1960	Paranoá Lake|Paranoá River			(i)|(iv)	1987
Q6583	desert					UTC+01:00		
Q5484	endorheic lake|lake|salt lake|sea	-28						
Q12501	cordon		-0700		15100			2013
Q243	architectural landmark|lattice tower|observation tower		1889		6.2073e+06			1964
Q3551	big city|city|national capital	87	1146	Atlantic Ocean|Bou Regreg			(ii)|(iv)	2012
Q7296	dormant volcano|massif	5895						
Q9141	mausoleum|tomb		1631	Yamuna	6.53237e+06		(i)	
Q5513	World Heritage Site|freshwater lake|lake|mountain lake	455.5					(ix)|(vii)|(viii)|(x)	1996
Q23800	city|local council of Malta	56	1566	Mediterranean Sea			(i)|(vi)	1980
Q2900	city	2850	1534					
Q14452	island	211		Pacific Ocean		UTC−06:00		
Q23883	endorheic lake|hypersaline lake	-441.33						
Q5505	freshwater lake|lake	1133						
Q7343	coral reef			Coral Sea			(ix)|(vii)|(viii)|(x)	2007
Q9202	colossal statue|observation tower|part of UNESCO World Heritage Site|statue		1886		3.72203e+06			1984
Q12506	mosque|museum		0532					1985
Q5511	lake	773					(ix)|(viii)|(x)	
Q5753	administrative territorial entity|big city	702	-0800	Zeravshan				
Q676203	World Heritage Site|ancient city|archaeological site	2430	1450		950000			
Q10285	Italian national museum|Museum of the Italian Ministry of Culture|Roman amphitheatre|archaeological artifact museum|archaeological site|historical civil building museum|roman ruins|stadium		0082		5.833e+06			
Q39231	active volcano|highest point|isolated peak|mountain|shintaisan|stratovolcano	3777.24						2013
Q66485	big city|state capital|town in India|urban area	431	1727				(ii)|(iv)|(vi)	2019
Q35525	civic building|mansion|presidential palace		1800		114519			1960
