# 1,000 known or interesting landmarks, from Wikidata (CC0) --
# UNESCO World Heritage Sites (wdt:P1435 wd:Q9259), named icons, and
# natural features. Selection and use: games/hue-and-cry/landmarks.py
# name	country	lat	lon	source	sitelinks
Vatican City	Vatican City	41.90400	12.45300	unesco	342
Mount Everest	Nepal	27.98806	86.92500	iconic	237
Brasília	Brazil	-15.79389	-47.88278	unesco	226
Sahara	Algeria	23.07972	12.61222	iconic	224
Caspian Sea	Azerbaijan	42.00000	50.50000	feature	207
Great Wall of China	China	40.43139	116.56444	iconic	194
Eiffel Tower	France	48.85830	2.29448	iconic	191
Rabat	Morocco	34.02111	-6.84139	unesco	188
Mount Kilimanjaro	Tanzania	-3.06667	37.35917	iconic	187
Taj Mahal	India	27.17500	78.04194	iconic	184
Lake Baikal	Russia	53.30278	108.00472	iconic	182
Valletta	Malta	35.89778	14.51250	unesco	181
Quito	Ecuador	-0.22000	-78.51250	unesco	180
Easter Island	Chile	-27.12000	-109.35000	iconic	164
Dead Sea	Israel	31.52070	35.48450	iconic	163
Lake Victoria	Kenya	-1.00000	33.00000	feature	161
Great Barrier Reef	Australia	-16.40000	145.80000	iconic	157
Statue of Liberty	United States	40.68921	-74.04443	iconic	157
Hagia Sophia	Turkey	41.00833	28.98000	iconic	152
Lake Tanganyika	Burundi	-6.10000	29.50000	feature	150
Samarkand	Uzbekistan	39.65472	66.97583	iconic	149
Machu Picchu	Peru	-13.16333	-72.54556	iconic	148
Colosseum	Italy	41.89028	12.49222	iconic	146
Mount Fuji	Japan	35.36056	138.72750	iconic	146
Jaipur	India	26.91500	75.82000	unesco	144
White House	United States	38.89778	-77.03667	iconic	143
Verona	Italy	45.43861	10.99278	unesco	142
Berlin Wall	Germany	52.50444	13.44111	iconic	140
Burj Khalifa	United Arab Emirates	25.19722	55.27417	iconic	139
Salvador	Brazil	-12.98306	-38.49278	unesco	138
Angkor Wat	Cambodia	13.41250	103.86667	iconic	137
Lhasa	China	29.64576	91.14082	iconic	136
Mount Vesuvius	Italy	40.82261	14.42919	iconic	135
Stonehenge	United Kingdom	51.17889	-1.82611	iconic	135
Niagara Falls	Canada	43.08000	-79.07100	iconic	134
Galapagos Islands	Ecuador	-0.66667	-90.55000	unesco	133
Kaaba	Saudi Arabia	21.42250	39.82617	iconic	133
Titicaca	Bolivia	-15.82500	-69.32500	feature	132
Sinai Peninsula	Egypt	29.50000	34.00000	feature	131
Timbuktu	Mali	16.77333	-2.99944	iconic	129
Auschwitz	Poland	50.03583	19.17833	unesco	128
Babylon	Achaemenid Empire	32.54250	44.42111	iconic	127
Mont Blanc	France	45.83278	6.86500	feature	127
Phong Nha–Ke Bang National Park	Vietnam	17.53333	106.15000	unesco	125
Empire State Building	United States	40.74833	-73.98556	iconic	124
Pompeii	Italy	40.75056	14.48972	iconic	122
Troy	Turkey	39.95750	26.23889	unesco	121
Gobi Desert	Mongolia	42.50000	103.00000	iconic	118
Petra	Jordan	30.32861	35.44194	iconic	117
Grand Canyon	United States	36.09750	-112.09528	iconic	116
Yellowstone National Park	United States	44.60000	-110.50000	iconic	116
Cusco	Peru	-13.51694	-71.97861	unesco	115
Aconcagua	Argentina	-32.65306	-70.01167	feature	113
Mount Elbrus	Russia	43.35254	42.43787	feature	113
Bath	United Kingdom	51.38139	-2.35972	unesco	112
K2	Pakistan	35.88111	76.51333	iconic	112
Lake Superior	Canada	47.52882	-87.76002	feature	112
Mount Ararat	Turkey	39.70194	44.29833	feature	111
Victoria Falls	Zambia	-17.92478	25.85806	iconic	111
Golden Gate Bridge	United States	37.81972	-122.47861	iconic	110
Chichen Itza	Mexico	20.68306	-88.56861	iconic	109
Mount Olympus	Greece	40.08333	22.35000	feature	109
Lake Ontario	Canada	43.72889	-78.10639	feature	108
Palace of Versailles	France	48.80472	2.12028	unesco	108
Lake Michigan	United States	44.00787	-86.75645	feature	107
Mount Bazardüzü	Azerbaijan	41.22049	47.85834	feature	107
Palmyra	Syria	34.55038	38.26979	iconic	107
Bermuda Triangle	The Bahamas	25.00000	-71.00000	iconic	106
Kyoto Prefecture	Japan	35.02103	135.75558	unesco	106
Lake Malawi	Malawi	-12.18333	34.36667	feature	106
Kalahari Desert	Angola	-23.00000	22.00000	feature	105
Lake Chad	Cameroon	13.09789	14.53381	feature	105
Atacama Desert	Chile	-24.50000	-69.25000	iconic	104
Forbidden City	China	39.91583	116.39083	iconic	104
Mariana Trench	United States	11.35000	142.20000	iconic	103
Persepolis	Iran	29.93500	52.89000	iconic	103
Kanchenjunga	India	27.70300	88.14735	feature	102
Lake Erie	Canada	42.25000	-80.99972	feature	102
Acre	Israel	32.92611	35.08389	unesco	101
Amazon rainforest	Brazil	-3.16000	-60.03000	iconic	101
Red Square	Russia	55.75417	37.62000	iconic	101
Château de Montsoreau	France	47.21560	0.06220	feature	100
Derbent	Russia	42.05778	48.28889	unesco	100
Lake Huron	Canada	44.59258	-82.75629	feature	100
Iguaçu Falls	Argentina	-25.69528	-54.43667	feature	99
Sydney Opera House	Australia	-33.85706	151.21490	iconic	99
Mohenjo-daro	Pakistan	27.32917	68.13889	unesco	98
Acropolis of Athens	Greece	37.97167	23.72611	iconic	97
Heard Island and McDonald Islands	Australia	-53.07833	73.50750	unesco	97
Negev	Israel	30.50000	34.91667	feature	97
Mount Rushmore	United States	43.87889	-103.45917	iconic	96
Buckingham Palace	United Kingdom	51.50100	-0.14200	iconic	95
Christ the Redeemer	Brazil	-22.95192	-43.21046	iconic	94
Angel Falls	Venezuela	5.97006	-62.53622	iconic	93
Krakatoa	Indonesia	-6.10200	105.42300	iconic	92
Matterhorn	Switzerland	45.97639	7.65861	iconic	92
Neuschwanstein Castle	Germany	47.55749	10.74944	feature	92
Samarra	Iraq	34.19590	43.88568	unesco	92
Taklamakan	China	38.90000	82.20000	feature	92
Uluru	Australia	-25.34500	131.03611	iconic	92
Karakum Desert	Turkmenistan	39.00000	60.00000	feature	91
Namib	Namibia	-23.00000	15.00000	feature	89
Olympia	Greece	37.63833	21.63000	unesco	89
Big Ben	United Kingdom	51.50067	-0.12457	iconic	88
Tower of London	United Kingdom	51.50820	-0.07620	iconic	88
Axum	Ethiopia	14.11667	38.73333	unesco	87
Kandy	Sri Lanka	7.29306	80.63500	unesco	87
Luang Prabang	Laos	19.89000	102.13472	unesco	87
Mount Athos	Greece	40.15833	24.32722	iconic	87
Mount Sinai	Egypt	28.53840	33.97520	iconic	87
San Cristóbal de La Laguna	Spain	28.48528	-16.31667	unesco	87
Yosemite National Park	United States	37.74250	-119.53750	iconic	87
Baalbek	Lebanon	34.00611	36.20861	unesco	86
Bastille	France	48.85333	2.36917	feature	86
Brandenburg Gate	Germany	52.51627	13.37772	iconic	86
Marquesas Islands	France	-8.90000	-139.60000	unesco	86
Cologne Cathedral	Germany	50.94139	6.95833	unesco	85
Windsor Castle	United Kingdom	51.48389	-0.60444	feature	85
Fatehpur Sikri	India	27.09111	77.66111	unesco	84
Potosí	Bolivia	-19.58917	-65.75333	unesco	84
Western Wall	Palestine	31.77695	35.23425	iconic	84
Ajanta Caves	India	20.55342	75.70047	unesco	83
Byblos	Lebanon	34.11667	35.65000	unesco	83
Ha Long Bay	Vietnam	20.90000	107.20000	iconic	83
Thar Desert	India	26.98444	71.00167	feature	83
Western Ghats	India	10.16972	77.06111	unesco	83
Hadrian's Wall	United Kingdom	55.02417	-2.29250	unesco	82
Kairouan	Tunisia	35.68333	10.10000	unesco	81
Delos	Greece	37.39121	25.27122	unesco	80
